,Tweet_ID,Date_Time,Tweet_Content,Is_Rumor
0,552783238415265792,07 Jan 2015 11:06:08,breaking least dead injured gunman open fire offices charlie hebdosatirical mag published mohammed cartoons,1
1,552783667052167168,07 Jan 2015 11:07:51,france people dead shooting hq satirical weekly newspaper charliehebdo according witnesses httptcofkyxgmus58,1
2,552783745565347840,07 Jan 2015 11:08:09,ten killed shooting headquarters french satirical weekly charlie hebdo says french media citing witnesses c4news,1
3,552784168849907712,07 Jan 2015 11:09:50,breaking dead shooting headquarters french satirical weekly charliehebdo french media citing witnesses france,1
4,552784526955806720,07 Jan 2015 11:11:16,reuters people shot dead headquarters french satirical weekly publication charlie hebdo paris gunmen stormed office,1
5,552784600502915072,07 Jan 2015 11:11:33,charlie hebdo became well known publishing muhammed cartoons two years ago,2
6,552784882687299584,07 Jan 2015 11:12:40,people died shooting paris hq french weekly charlie hebdo reports say httptcoxck8ly9ier httptcovsoyscgabx,1
7,552784898743099392,07 Jan 2015 11:12:44,charlie hebdos last tweet shootings httptco9oa2xaqocm httptcoskjhneqcn0,2
8,552785367972450304,07 Jan 2015 11:14:36,french radio europe1 says attackers offices paris weekly ran yelling allahu akbar charliehebdo,3
9,552785375161499649,07 Jan 2015 11:14:38,breaking reportedly shot dead paris hq french weekly charlie hebdo httptco5f1dowzocq,1
10,552785391653494784,07 Jan 2015 11:14:42,prediction charliehebdo massacre dent political classs complacency one iota,2
11,552785443813457921,07 Jan 2015 11:14:54,breaking news ten dead shooting headquarters french satirical weekly charlie hebdo french media reuters akhbar,1
12,552785551930454016,07 Jan 2015 11:15:20,witness says multiple gunmen involved shooting paris hq french satirical magazine charlie hebdo ap httptcozfjyh80uxy,3
13,552785695845396480,07 Jan 2015 11:15:54,breaking people shot dead headquarters french satirical weekly publication charlie hebdo paris gunmen stormed office,1
14,552786016906383360,07 Jan 2015 11:17:11,breaking paris dead attack satirical paper poked fun mohammed httptco4qqvijlp8a charliehebdo httptcokqqecewknq,1
15,552786099899494400,07 Jan 2015 11:17:31,breaking paris police say shots fired satirical newspaper charlie hebdo witness says multiple gunmen involved,3
16,552786116404072448,07 Jan 2015 11:17:35,28am charlie hebdo account mocks isis leader wishing good health best wishes httptco9oa2xaqocm httptcouyxaykla7q,2
17,552786299875520512,07 Jan 2015 11:18:18,faith isnt strong enough cope satirical poke oughtnt strong enough induce kill barbaric charliehebdo,2
18,552786340958715904,07 Jan 2015 11:18:28,arrived scene massacre paris charliehebdo httptcobxdwfuqrz8,2
19,552786361758265344,07 Jan 2015 11:18:33,breaking reported dead charlie hebdo hq shooting local media httptcoq27xnp3as3,1
20,552786818853113857,07 Jan 2015 11:20:22,armed kalachnikovs amp rocketlauncher men open fire french satirical mag charlie hebdo published prophet mohamed cartoons afp,1
21,552787144373460992,07 Jan 2015 11:21:40,police car bullet holes front charlie hebdo headquarter photo williammolinie httptcolzqdhj6kxr,2
22,552787144415404032,07 Jan 2015 11:21:40,police car bullet holes front charlie hebdo headquarter photo williammolinie httptcok6inhbmgsf,2
23,552787231468191744,07 Jan 2015 11:22:00,paris police dead injured charliehebdo shooting,3
24,552787321561812992,07 Jan 2015 11:22:22,every newspaper europe publish cartoons charlie hebdo tomorrow every single one,2
25,552787361437057024,07 Jan 2015 11:22:31,jews catholics muslims white people black people everyone attacked charlie hebdo yet reacts like httptcofkvhfjxpoo,2
26,552787544837197824,07 Jan 2015 11:23:15,breaking ten shot dead gunmen storm hq satirical magazine charlie hebdo paris httptcoygynd65mr8 httpstcobfvhx422js,1
27,552787599031828480,07 Jan 2015 11:23:28,massacre dead employee charlie hebdo tells french media outlet call disconnects httptcoq27xnp3as3,2
28,552787878351474688,07 Jan 2015 11:24:35,confirming dead paris charliehebdo shooting via prosecutors office afp,1
29,552787914271510529,07 Jan 2015 11:24:43,religion religion offlimits open debate dangerous situation freedomofexpression charliehebdo,2
30,552788007603142656,07 Jan 2015 11:25:05,charliehebdo published cartoon notorious isis leader last week theyve tweeted pic httptcoyyyxznaffb,2
31,552788396733906944,07 Jan 2015 11:26:38,breaking armed men attack offices french satirical magazine charlie hebdo killing least police say httptcotyceemkwoo,1
32,552788555584765952,07 Jan 2015 11:27:16,right mock amp criticise religion key tenet free democratic society whether islam christianity charliehebdo,2
33,552788720236376064,07 Jan 2015 11:27:55,french newspaper charlie hebdos last tweet gunmen attack httptcovsjid0ewrk httptcoyjhgbhixq6,2
34,552788886355996672,07 Jan 2015 11:28:35,ten people killed attack offices satirical french magazine charlie hebdo paris prosecutors say httptcoczyz6voztw,1
35,552788945017516032,07 Jan 2015 11:28:49,appalled attack charlie hebdo paris probably journalists confirmed dead attack free speech everywhere,1
36,552788947219533824,07 Jan 2015 11:28:49,update telegraph reporter henry samuels tells sky news people killed shooting charlie hebdo headquarters paris,1
37,552789127792717826,07 Jan 2015 11:29:33,confirmed people dead shooting centre paris many believed journos working charliehebdo,1
38,552789196906459136,07 Jan 2015 11:29:49,todays charliehebdo cover houellebecq ill observe ramadan httptcog7zbita3cj,2
39,552789252690706432,07 Jan 2015 11:30:02,charliehebdo httptco9zzpyzcaj8,2
40,552789443644751872,07 Jan 2015 11:30:48,cartoon charliehebdo staff shot publications show solidarity republish httptcolguui7dj1u,2
41,552789521646247936,07 Jan 2015 11:31:06,french official says attack paris weekly charliehebdo kalachnikov automatic rifles rocket launcher unprecedented afp,1
42,552789550238801920,07 Jan 2015 11:31:13,solidarity charlie hebdo httptcogvlp0nwlax,2
43,552789583260577792,07 Jan 2015 11:31:21,charlie hebdos nov charia hebdo guestedited muhammad lashes whip dont die laughing httptco5ezg448cnm,2
44,552789886202175490,07 Jan 2015 11:32:33,charlie hebdos last cartoon twitter abu bakr albaghdadi saying especially health new years greeting httptcoumewder6z4,2
45,552790074166108160,07 Jan 2015 11:33:18,ten dead shooting paris offices satirical magazine charlie hebdo live updates httptcojxujfbizgu,1
46,552790082533752832,07 Jan 2015 11:33:20,dead shots fired french satirical weekly charliehebdo afp httptcokqsnxv4kqf,1
47,552790371848040449,07 Jan 2015 11:34:29,unconfirmed reports charliehebdo attackers shouted prophet avenged used rocket launcher next level,3
48,552790565642067968,07 Jan 2015 11:35:15,jews catholics muslims white people black people everyone attacked charlie hebdo yet reacts like httptcogg5zcjk9ac,2
49,552790598823186432,07 Jan 2015 11:35:23,charliehebdo killings many think dark days ahead france europe everyone lose,2
50,552790695036321793,07 Jan 2015 11:35:46,love stronger hate thoughts charliehebdo httptcobqrlxrzdjt,2
51,552790742700417024,07 Jan 2015 11:35:58,scene paris hq satirical magazine charlie hebdo police confirm gunmen kill least httptcot3gks9dapq httptcobnd65c9hwf,1
52,552790824971677696,07 Jan 2015 11:36:17,dead shots fired french satirical weekly charliehebdo photo philippe dupeyrat afp httptcoq38epi1b8b,1
53,552790838015979520,07 Jan 2015 11:36:20,update people dead headquarters french satirical weekly publication charlie hebdo armed gunmen stormed office paris,1
54,552790875492073472,07 Jan 2015 11:36:29,people confirmed dead paris attack rocket launcher used assault according reports httptco7n7uvclhwy,1
55,552790878805168129,07 Jan 2015 11:36:30,parisbased journalist says attack charlie hebdos hq involved men armed rocket propelled grenades httptco1pjh17mclz,1
56,552791034447794176,07 Jan 2015 11:37:07,breaking update dead wounded charlie hebdo hq shooting paris police httptcoq27xnp3as3,1
57,552791065645027328,07 Jan 2015 11:37:15,live dead shooting hq satirical weekly charliehebdo paris police source httpstco4yt6nafpig charliehebdo,1
58,552791115599192064,07 Jan 2015 11:37:26,witnesses say several masked men involved shooting charliehebdos paris hq httptcoxck8ly9ier httptcoqpktv7stet,3
59,552791159232540673,07 Jan 2015 11:37:37,charliehebdo cover prophet mohammed provoked firebombing offices httptcohoua9drvak httptcovdj5egirrq,2
60,552791182670327808,07 Jan 2015 11:37:42,several men black cagoules heard shout prophet avenged httptcowu7xfgczsm,3
61,552791196247269378,07 Jan 2015 11:37:46,breaking least killed shooting french satirical newspaper charlie hebdo paris prosecutors office says httptcomnaea7j7fy,1
62,552791203432103937,07 Jan 2015 11:37:47,charlie hebdos right draw muhammad httptcoglf9dgwfs0 httptcovkfw5zbmvc,2
63,552791332935434242,07 Jan 2015 11:38:18,saying dont yet know whos responsible charliehebdo killings yes youre right probably fundamentalist atheists,2
64,552791414388424704,07 Jan 2015 11:38:38,anybody wants talk charlie hebdo might done provoke probably shut forever,2
65,552791578893619200,07 Jan 2015 11:39:17,eleven dead shooting paris offices satirical magazine charlie hebdo live updates httptcogotsqbwroc,1
66,552791678881660928,07 Jan 2015 11:39:41,cowardly attack charlie hebdos offices humourless fanatics fuck freedom speech important feelings,2
67,552791719272775680,07 Jan 2015 11:39:50,guardian live coverage paris shooting charlie hebdo httptcom27vo7xfik,2
68,552791831390732289,07 Jan 2015 11:40:17,appalled hear news apparent terrorist attack paris thoughts family friends killed,2
69,552792131447037952,07 Jan 2015 11:41:29,support died today paris charliehebdo freedomwillneverdie httptcofkkdzxchdt,2
70,552792193992519680,07 Jan 2015 11:41:44,least dead injured gunmen storm charlie hebdo office paris httptcoujw9lonl8n httptcojnhzmkew5m,1
71,552792253601947648,07 Jan 2015 11:41:58,freespeech nonnegotiable human right condemn appalling attack charlie hebdo attempt silence free press,2
72,552792271243210754,07 Jan 2015 11:42:02,police say dead carnage charliehebdo hq paris follow coverage httptcoicldjevrnb httptcoaqkn3pmfkt,1
73,552792518870708224,07 Jan 2015 11:43:01,charlie hebdo covers including life mohamed people willing kill cartoon httptcovaendpbysu,2
74,552792544132997121,07 Jan 2015 11:43:07,breaking charlie hebdo latest dead wounded five critical two gunmen unaccounted httptcokjw3uwcv0f httptco9k8ics97be,1
75,552792802309181440,07 Jan 2015 11:44:09,charliehebdo dead including police paris shooting photo martinbureau1 afp httptcoaksgp63mb7,1
76,552792913910833152,07 Jan 2015 11:44:35,least dead shooting hq charliehebdo paris police sourcehttpstcoe4dbcnvbvd,1
77,552792988376915969,07 Jan 2015 11:44:53,dead paris shooting french satirical newspaper charlie hebdo police official says ap httptcozfjyh80uxy,1
78,552793409438904321,07 Jan 2015 11:46:33,im uneasy portrayal charlie hebdo magazine provokes publishes cartoons people choose react,2
79,552793539856588801,07 Jan 2015 11:47:04,french media put police protection according le figaro quoting source police charliehebdo,3
80,552793551231541249,07 Jan 2015 11:47:07,charlie hebdo gunmen reportedly heard shouting prophet avenged httptco6q9j9nkvo5 httptcohxmmpdla38,3
81,552793552376569857,07 Jan 2015 11:47:07,horrendous story paris shot dead many wounded offices satirical mag charliehebdo published cartoons muhammad,1
82,552793679082311680,07 Jan 2015 11:47:38,confirmed dead francois hollande visit scene attack latest paris httptco7n7uvclhwy httptcoegmxaradep,1
83,552793759210307584,07 Jan 2015 11:47:57,1st attack charliehebdo office firebombed nov controvers caricature prophet muhammad httptco0wainrj1z7,2
84,552794157484634112,07 Jan 2015 11:49:32,armed men reportedly asking journalists name charlie hebdo unimaginable httptcoa11klznpnn,3
85,552794286849536001,07 Jan 2015 11:50:03,paris maximum alert charliehebdo attack officials say president hollande arrives scene httptcommxr2nmi5r,2
86,552794514424102913,07 Jan 2015 11:50:57,paris alert status raised highest level charliehebdo gunmen reportedly run httptcoxck8ly9ier httptcotquxq06q7f,2
87,552794942759010304,07 Jan 2015 11:52:39,charliehebdo dead including police paris shooting photo martinbureau1 afp httptcoxkczbys82e,1
88,552794995942772736,07 Jan 2015 11:52:52,death defend right say itcharliehebdovoltaire httptcoofeht8xx3v,2
89,552795050502270976,07 Jan 2015 11:53:05,charliehebdo dead including police paris shooting martinbureau1 afp httptcot8hpvdpjjn,1
90,552795056080691200,07 Jan 2015 11:53:06,video scene fatal shooting paris httptcosl3ag464lt charliehebdo httptcoflc3mr5c2s,2
91,552795566242279424,07 Jan 2015 11:55:08,charlie hebdo attackers two masked men brandishing kalashnikovs rocket launchers httptcoex1xb40jws httptcooi7ppqykqt,1
92,552795585095671808,07 Jan 2015 11:55:12,gunmen reportedly asked victims name shooting charliehebdo live updates httptcow2a2ccypkn httptco150t62a5in,3
93,552795693682032640,07 Jan 2015 11:55:38,paris police say dead shooting french satirical weekly charlie hebdo httptcok4wbmhdnxo,1
94,552795773180858368,07 Jan 2015 11:55:57,french president hollande condemns barbaric act charliehebdo gun attack kills httptcokeur4wvphu httptcovyurvukz1n,1
95,552795778922864640,07 Jan 2015 11:55:58,would go way tribute killed charliehebdo papers every democracy published thurs httptcocyqwwwwgjh,2
96,552795953301045248,07 Jan 2015 11:56:40,french president hollande says doubt attack charliehebdo terrorist attack httptcorve1lp0exf httptco8lfa5lfsns,2
97,552796091255894016,07 Jan 2015 11:57:13,video showing charliehebdo attack allahu akbar shouts httptcoy1erbsgv5p,3
98,552796269069209600,07 Jan 2015 11:57:55,developing paris high terrorist alert charliehebdo shooting hollande httptco3jsosc7yl3 httptcolvv3j8o6e8,2
99,552796506642591744,07 Jan 2015 11:58:52,check photo via journo elisebarthet alleged pic gunmen facing police car near charliehebdo offices httptcoebpt190ld0,2
100,552796522904297472,07 Jan 2015 11:58:56,dont know carried charlie hebdo attack however muslims enemies muslims,2
101,552796619104866304,07 Jan 2015 11:59:19,satirical pictures charlie hebdo produced freespeech banislam httptcom4oancf5e0,2
102,552796625467621376,07 Jan 2015 11:59:20,charliehebdo love stronger hate httptco23khz2osh3,2
103,552796863297236992,07 Jan 2015 12:00:17,charliehebdo gunmen fled stolen car mass shootout police officers httptcoeocvqn42hg httptco545ooj5xmm,3
104,552796895513681920,07 Jan 2015 12:00:25,charliehebdo hollande media shooting undoubtedly terrorist attack photo kenzo tribouillard afp httptcozk41w7j7yc,2
105,552797058990870528,07 Jan 2015 12:01:03,spread cover solidarity victims charlie hebdo dont let sword conquer pen httptcoxvkppbklhn,2
106,552797114863198208,07 Jan 2015 12:01:17,trend istandwithfrance httptco7m7pwfjnkz,2
107,552797148975464448,07 Jan 2015 12:01:25,breaking astonishing video paris terror attack happening gt httptcosglpywcwhl via bbcdaniels charliehebdo,2
108,552797154692300800,07 Jan 2015 12:01:26,strongly condemn horrible shooting charliehebdo must stand freedom speech expression charliehebdo,2
109,552797170295144449,07 Jan 2015 12:01:30,video terrorists attacking charlie hebdo hq paris httptcosdniwkjtt1 httptcoz6o8ihnjck,2
110,552797406094716929,07 Jan 2015 12:02:26,french leader attack killed paris newspaper act terror attacks thwarted recent weeks httptco9rrqfeaqj5,1
111,552797638807281664,07 Jan 2015 12:03:22,reports charliehebdo gunmen asking journalists name opening fire armed ak47s rpg,3
112,552797729504886784,07 Jan 2015 12:03:43,six days charlie hebdos offices firebombed front cover love stronger hate httptco7yinu4cc00,2
113,552797828977029120,07 Jan 2015 12:04:07,shocked amp appalled senseless attack charlie hebdo london stands paris amp people france horrific scourge,2
114,552798010196107264,07 Jan 2015 12:04:50,breaking french government raises security alert highest level deadly attack magazine charlie hebdo httptcoak9mtvfjdr,2
115,552798016646942721,07 Jan 2015 12:04:52,charlie hebdo love,2
116,552798200990806016,07 Jan 2015 12:05:36,sympathies amp prayers victims families amp french people ahmadiyya muslims totally condemn murder charliehebdo,2
117,552798310889566209,07 Jan 2015 12:06:02,dont support cartoons language published publishers charliehebdo attack indeed sickening dead terrorattack,2
118,552798640679702528,07 Jan 2015 12:07:21,freedom expression never act bravery whoever threatens enemy freedomloving people charliehebdo,2
119,552798654495354880,07 Jan 2015 12:07:24,graphic video shows gunmen automatic rifles attack charliehebdo paris httpstcofqxxnsjowq httptcoy0uxe72r2n,1
120,552798832359374849,07 Jan 2015 12:08:06,thoughts go people charlie hebdo families senseless violence never answer httptcoygscpqvtym,2
121,552798891994009601,07 Jan 2015 12:08:21,reports two dead charliehebdo attack police officers httptco2j4wqdjntp httptcolipdxdq1cb,1
122,552799062421164032,07 Jan 2015 12:09:01,charlie hebdo massacre paris carried military precision gunmen appeared seek journalists name police suggest,3
123,552799100715167744,07 Jan 2015 12:09:10,france raises national alert system highest level attack charlie hebdo hq httptcotyryahzspp httptcocwyqcmwg0z,2
124,552799317602615297,07 Jan 2015 12:10:02,awful shot dead assault paris magazine httptcoxxins8etdb charliehebdo httptcoas3yolthcx,1
125,552799591255384065,07 Jan 2015 12:11:07,new vid paris attack charliehebdo filmed witness gunmen street shout allahu akbar httptcotazedtgflw akhbar,3
126,552799606833430528,07 Jan 2015 12:11:11,agree say ill defend death right say voltaire charliehebdo httptcombn5siwa7z,2
127,552799640488517632,07 Jan 2015 12:11:19,armed gunmen face police officers near offices satirical newspaper charliehebdo photo anne gelbard afp httptcok669phgvw5,1
128,552799669521481728,07 Jan 2015 12:11:26,lashes dont die laughter eleven people killed paris charliehebdo httptco87cb3mwvaq,2
129,552800045096259584,07 Jan 2015 12:12:55,chilling video allegedly charliehebdo attackers filmed rooftop cry allahou akbar followed shots httptcog3rhlmafth,3
130,552800070199148544,07 Jan 2015 12:13:01,respond murderous attack charlie hebdo every newspaper free world print httptcosc2ot63f6j,2
131,552800222553079809,07 Jan 2015 12:13:38,never justification violence one offended cartoon ever charliehebdo httptcorhbpc5iwh9,2
132,552800223496790018,07 Jan 2015 12:13:38,worth remembering jens stoltenbergs words utya response democracy openness humanity charliehebdo,2
